"productType","brand","modelName","modelNumber","category","energyPerTime","units","source"
"Notebook/Tablet","Lenovo","Lenovo Ideapad Y450","4189XXXX","A",35.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","Lenovo Ideapad Y450","4189XXXX","B",41.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Pavilion dv4 series notebook PC (AMD)","dv4-1400aatodv4-1499zz,exceptwhenconfiguredwithAthlonorSempronprocessors","A",37.2,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Pavilion dv2 series notebook PC","dv2z","A",33.3,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Pavilion dv2 series notebook PC","dv2z","B",44.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","G60 series notebook PC (Intel)","G60t","A",30.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","G60 series notebook PC (Intel)","G60t","B",34.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Sony","VGN-SR390","VGN-SR390","B",40.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Dell","Studio","XPS 1640","B",45.3,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","Lenovo IdeaPad Y450","20020XXXX","A",35.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","Lenovo IdeaPad Y450","20020XXXX","B",41.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LifeBook","P8020","A",34.2,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Dell",1010,1010,"A",20.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","eMachines","KAWH0","G525 series","A",33.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","eMachines","KAWH0","G725 serie","A",33.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LifeBook","T2020","A",38.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","Stylistic","ST6012","A",38,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LifeBook","V1040","A",35.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-Q320","NP-Q320","B",38.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NT-Q320","NT-Q320","B",38.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-Q320H","NP-Q320H","B",38.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NT-Q320H","NT-Q320H","B",38.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-R522","NP-R522","B",45.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-R521","NP-R521","B",45.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-SA22","NP-SA22","B",45.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-E251H","NP-E251H","B",45.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NT-R520","NT-R520","B",45.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-R523H","NP-R523H","B",45.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-R521H","NP-R521H","B",45.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-SA22H","NP-SA22H","B",45.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NT-E252H","NT-E252H","B",45.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NT-R520H","NT-R520H","B",45.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","General Dynamics Itronix","GD8000","GD8000","A",31.1,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Compaq","Presario CQ35 series notebook PC","CQ35-100aa to CQ35-199zz, except with Celeron processor","A",36.3,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Compaq","Presario CQ35 series notebook PC","CQ35-100aa to CQ35-199zz, except with Celeron processor","B",39.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Pavilion dv3 series notebook PC","dv3t","A",36.3,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Pavilion dv3 series notebook PC","dv3t","B",39.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","ITAUTEC","Infoway Note","N8330","A",32.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","eMachines","KAWG0","G625","A",31.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-N310","NP-N310","A",28.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Dell",1340,1340,"B",43.3,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Dell","Adamo",13,"A",21.2,"kWh/year","www.energystar.gov"
