homeDwellingType,homeNoOfBedrooms,homeFuel,homeAge,type,kgCO2PerYear,units,source,default
detached house,4,oil,1930-1995,boiler (new-less than 5 yrs old),7313,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,1930-1995,room heaters,11580,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,1930-1995,boiler (condensing),6907,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,1930-1995,warm air,8880,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,pre 1930,boiler (old-12-15yrs old),12288,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,pre 1930,boiler (average-5-10yrs old),9984,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,pre 1930,boiler (new-less than 5 yrs old),9397,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,pre 1930,room heaters,14800,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,pre 1930,boiler (condensing),8875,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,pre 1930,warm air,11410,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,post 1995,boiler (old-12-15yrs old),6162,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,post 1995,boiler (average-5-10yrs old),5007,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,post 1995,boiler (new-less than 5 yrs old),4712,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,post 1995,room heaters,7561,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,post 1995,boiler (condensing),4451,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,post 1995,warm air,5722,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,1930-1995,boiler (old-12-15yrs old),8968,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,1930-1995,boiler (average-5-10yrs old),7473,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,1930-1995,boiler (new-less than 5 yrs old),6726,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,1930-1995,boiler (condensing),6115,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,pre 1930,boiler (old-12-15yrs old),11535,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,pre 1930,boiler (average-5-10yrs old),9613,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,pre 1930,boiler (new-less than 5 yrs old),8651,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,pre 1930,boiler (condensing),7865,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,post 1995,boiler (old-12-15yrs old),5771,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,post 1995,boiler (average-5-10yrs old),4809,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,post 1995,boiler (new-less than 5 yrs old),4328,kgco2/year,defra/bre/dgen 2007,
detached house,4,lpg,post 1995,boiler (condensing),3934,kgco2/year,defra/bre/dgen 2007,
detached house,4,biomass,1930-1995,boiler (wood chip/pellets),964,kgco2/year,defra/bre/dgen 2007,
detached house,4,biomass,1930-1995,stove,2958,kgco2/year,defra/bre/dgen 2007,
