"aircraft","massFuelTakeOff","massFuelClimbOut","massFuelApproach","massFuelTaxi","massFuelCruise232km","massFuelCruise463km","massFuelCruise926km","massFuelCruise1389km","massFuelCruise1852km","massFuelCruise2778km","massFuelCruise3704km","massFuelCruise4630km","massFuelCruise5556km","massFuelCruise6482km","massFuelCruise7408km","massFuelCruise8334km","massFuelCruise9260km","massFuelCruise10186km","massFuelCruise11112km","massFuelCruise12038km","IATACode","ICAOCode","representativeAircraft","units","source"
"Douglas DC-8 Freighter [D8F]",188.2,476.6,306.8,868,1760.58,3151.13,5614.77,8060.04,10542.05,15604.18,21036.66,,,,,,,,,,"D8F","DC8","Boeing 737-100 (x2)",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-8 Combi [D8M]",188.2,476.6,306.8,868,1760.58,3151.13,5614.77,8060.04,10542.05,15604.18,21036.66,,,,,,,,,,"D8M","DC8","Boeing 737-100 (x2)",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-8 [D8S]",188.2,476.6,306.8,868,1760.58,3151.13,5614.77,8060.04,10542.05,15604.18,21036.66,,,,,,,,,,"D8S","DC8","Boeing 737-100 (x2)",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-9-20 [D92]",87.9,224.9,145,418.2,867.76,1601.87,2939.2,4191.02,5613.87,8478.82,11477.81,,,,,,,,,,"D92","DC9","Douglas DC-9",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-9-30 [D93]",87.9,224.9,145,418.2,867.76,1601.87,2939.2,4191.02,5613.87,8478.82,11477.81,,,,,,,,,,"D93","DC9","Douglas DC-9",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-9-40 [D94]",87.9,224.9,145,418.2,867.76,1601.87,2939.2,4191.02,5613.87,8478.82,11477.81,,,,,,,,,,"D94","DC9","Douglas DC-9",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-9-50 [D95]",87.9,224.9,145,418.2,867.76,1601.87,2939.2,4191.02,5613.87,8478.82,11477.81,,,,,,,,,,"D95","DC9","Douglas DC-9",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-9 [D98]",87.9,224.9,145,418.2,867.76,1601.87,2939.2,4191.02,5613.87,8478.82,11477.81,,,,,,,,,,"D98","DC9","Douglas DC-9",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-9-30/40/50 [D9S]",87.9,224.9,145,418.2,867.76,1601.87,2939.2,4191.02,5613.87,8478.82,11477.81,,,,,,,,,,"D9S","DC9","Douglas DC-9",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Dassault-Breguet Mercure 100 [DAM]",94.1,238.3,153.4,434,880.29,1575.57,2807.39,4030.02,5271.03,7802.09,10518.33,,,,,,,,,,"DAM","DA01","Boeing 737-100",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-8 [DC8]",188.2,476.6,306.8,868,1760.58,3151.13,5614.77,8060.04,10542.05,15604.18,21036.66,,,,,,,,,,"DC8","DC8","Boeing 737-100 (x2)",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-9 [DC9]",87.9,224.9,145,418.2,867.76,1601.87,2939.2,4191.02,5613.87,8478.82,11477.81,,,,,,,,,,"DC9","DC9","Douglas DC-9",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Fokker F28 Fellowship 1000 [F21]",87.9,224.9,145,418.2,867.76,1601.87,2939.2,4191.02,5613.87,8478.82,11477.81,,,,,,,,,,"F21","F28","Douglas DC-9",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Fokker F28 Fellowship 3000 [F23]",60.5,155.6,106.6,358.8,712.28,1400.85,2428.53,3513.21,4597.89,6960.04,9478.46,,,,,,,,,,"F23","F28","British Aerospace (BAC) One Eleven",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Fokker F28 Fellowship 4000 [F24]",60.5,155.6,106.6,358.8,712.28,1400.85,2428.53,3513.21,4597.89,6960.04,9478.46,,,,,,,,,,"F24","F28","British Aerospace (BAC) One Eleven",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
