"region","livestockType","managementType","managementSubtype","massNExcretedPer1000kgLivestockPerTime","massN2OPerMassNDirect","fractionVolatilised","massN2OPerMassNVolatilised","units","source"
"oceania","horses/mules/asses","pit storage below animal confinements","-",0.3,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","pit storage below animal confinements","-",0.26,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","solid storage","-",0.46,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","solid storage","-",0.46,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","solid storage","-",0.3,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","solid storage","-",0.46,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","solid storage","-",0.46,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","solid storage","-",0.3,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","solid storage","-",0.3,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","solid storage","-",0.26,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","uncovered anaerobic lagoon","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","uncovered anaerobic lagoon","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","uncovered anaerobic lagoon","-",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","uncovered anaerobic lagoon","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","uncovered anaerobic lagoon","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","uncovered anaerobic lagoon","-",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","uncovered anaerobic lagoon","-",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","uncovered anaerobic lagoon","-",0.26,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","aerobic treatment ","forced aeration",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","aerobic treatment ","forced aeration",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","aerobic treatment ","forced aeration",0.9,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","aerobic treatment ","forced aeration",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","aerobic treatment ","forced aeration",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","aerobic treatment ","forced aeration",0.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","aerobic treatment ","forced aeration",1.13,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","aerobic treatment ","forced aeration",0.85,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","aerobic treatment ","natural aeration",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","aerobic treatment ","natural aeration",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","aerobic treatment ","natural aeration",0.9,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","aerobic treatment ","natural aeration",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","aerobic treatment ","natural aeration",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","aerobic treatment ","natural aeration",0.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","aerobic treatment ","natural aeration",1.13,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","aerobic treatment ","natural aeration",0.85,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","anaerobic digester","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","anaerobic digester","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","anaerobic digester","-",0.9,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","anaerobic digester","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","anaerobic digester","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","anaerobic digester","-",0.42,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","anaerobic digester","-",1.13,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","anaerobic digester","-",0.85,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","deep bedding","active mixing",1.17,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","deep bedding","active mixing",1.17,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","deep bedding","active mixing",0.9,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","deep bedding","active mixing",1.17,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","deep bedding","active mixing",1.17,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","deep bedding","active mixing",0.42,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","deep bedding","active mixing",1.13,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","deep bedding","active mixing",0.85,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","deep bedding","no mixing",1.17,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","deep bedding","no mixing",1.17,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","deep bedding","no mixing",0.9,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","deep bedding","no mixing",1.17,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","deep bedding","no mixing",1.17,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","deep bedding","no mixing",0.42,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","deep bedding","no mixing",1.13,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","deep bedding","no mixing",0.85,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","composting","in vessel",1.17,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","composting","in vessel",1.17,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","composting","in vessel",0.9,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","composting","in vessel",1.17,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","composting","in vessel",1.17,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","composting","in vessel",0.42,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","composting","in vessel",1.13,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","composting","in vessel",0.85,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","composting","intensive windrow",1.17,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","composting","intensive windrow",1.17,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","composting","intensive windrow",0.9,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","composting","intensive windrow",1.17,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","composting","intensive windrow",1.17,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","composting","intensive windrow",0.42,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","composting","intensive windrow",1.13,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","composting","intensive windrow",0.85,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","composting","passive windrow",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","composting","passive windrow",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","composting","passive windrow",0.9,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","composting","passive windrow",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","composting","passive windrow",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","composting","passive windrow",0.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","composting","passive windrow",1.13,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","composting","passive windrow",0.85,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","composting","static pile",1.17,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","composting","static pile",1.17,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","composting","static pile",0.9,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","composting","static pile",1.17,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","composting","static pile",1.17,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","composting","static pile",0.42,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","composting","static pile",1.13,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","composting","static pile",0.85,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","daily spread","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","daily spread","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","daily spread","-",0.9,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","daily spread","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","daily spread","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","daily spread","-",0.42,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","daily spread","-",1.13,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","daily spread","-",0.85,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","dry lot","-",1.17,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","dry lot","-",1.17,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","dry lot","-",0.9,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","dry lot","-",1.17,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","dry lot","-",1.17,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","dry lot","-",0.42,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","dry lot","-",1.13,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","dry lot","-",0.85,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","liquid/slurry","with natural crust cover",1.17,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","liquid/slurry","with natural crust cover",1.17,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","liquid/slurry","with natural crust cover",0.9,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","liquid/slurry","with natural crust cover",1.17,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","liquid/slurry","with natural crust cover",1.17,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","liquid/slurry","with natural crust cover",0.42,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","liquid/slurry","with natural crust cover",1.13,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","liquid/slurry","with natural crust cover",0.85,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","liquid/slurry","without natural crust cover",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","liquid/slurry","without natural crust cover",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","liquid/slurry","without natural crust cover",0.9,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","liquid/slurry","without natural crust cover",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","liquid/slurry","without natural crust cover",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","liquid/slurry","without natural crust cover",0.42,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","liquid/slurry","without natural crust cover",1.13,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","liquid/slurry","without natural crust cover",0.85,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","pasture/range/paddock","-",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","pasture/range/paddock","-",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","pasture/range/paddock","-",0.9,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","pasture/range/paddock","-",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","pasture/range/paddock","-",1.17,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","pasture/range/paddock","-",0.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","pasture/range/paddock","-",1.13,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","pasture/range/paddock","-",0.85,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","pit storage below animal confinements","-",1.17,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","pit storage below animal confinements","-",1.17,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","pit storage below animal confinements","-",0.9,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","pit storage below animal confinements","-",1.17,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","pit storage below animal confinements","-",1.17,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","pit storage below animal confinements","-",0.42,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","pit storage below animal confinements","-",1.13,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","pit storage below animal confinements","-",0.85,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","solid storage","-",1.17,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","solid storage","-",1.17,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","solid storage","-",0.9,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","solid storage","-",1.17,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","solid storage","-",1.17,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","solid storage","-",0.42,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","solid storage","-",1.13,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","solid storage","-",0.85,0.005,0.120,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","sheep","uncovered anaerobic lagoon","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","sheep","uncovered anaerobic lagoon","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","sheep","uncovered anaerobic lagoon","-",0.9,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","sheep","uncovered anaerobic lagoon","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","sheep","uncovered anaerobic lagoon","-",1.17,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","sheep","uncovered anaerobic lagoon","-",0.42,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","sheep","uncovered anaerobic lagoon","-",1.13,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","sheep","uncovered anaerobic lagoon","-",0.85,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
