"airportName","country","IATACode","fullName","latitude","longitude","units","source"
"Oakland [OAK]","United States","OAK","Metropolitan Oakland International","37.72","-122.22","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oamaru [OAM]","New Zealand","OAM","Oamaru","-44.97","171.08","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oaxaca [OAX]","Mexico","OAX","Xoxocotlan International","17","-96.73","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oberpfaffenhofen [OBF]","Germany","OBF","Oberpfaffenhofen","48.08","11.28","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Obihiro [OBO]","Japan","OBO","Obihiro","42.73","143.22","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aubenas-Vals-Lanas [OBS]","France","OBS","Vals Lanas","44.54","4.37","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Coca [OCC]","Ecuador","OCC","Francisco De Orellana","-0.46","-76.99","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ocho Rios [OCJ]","Jamaica","OCJ","Boscobel","18.4","-76.97","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ocana [OCV]","Colombia","OCV","Aguas Claras","8.31","-73.36","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Cordoba [ODB]","Spain","ODB","Cordoba","37.84","-4.85","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Odense [ODE]","Denmark","ODE","Odense","55.48","10.33","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Odiham [ODH]","United Kingdom","ODH","Odiham","51.23","-0.94","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Odessa [ODS]","Ukraine","ODS","Odesa","46.43","30.68","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ornskoldsvik [OER]","Sweden","OER","Ornskoldsvik","63.41","18.99","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Omaha [OFF]","United States","OFF","Offutt Air Force Base","41.12","-95.91","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Kahului [OGG]","United States","OGG","Kahului","20.9","-156.43","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Yonaguni Jima [OGN]","Japan","OGN","Yonaguni","24.47","122.98","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ogdensburg [OGS]","United States","OGS","Ogdensburg International","44.68","-75.47","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ouargla [OGX]","Algeria","OGX","Ouargla","31.92","5.41","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ohrid [OHD]","Macedonia","OHD","Ohrid","41.18","20.74","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oshima [OIM]","Japan","OIM","Oshima","34.78","139.36","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oita [OIT]","Japan","OIT","Oita","33.48","131.74","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Naha [OKA]","Japan","OKA","Naha","26.2","127.65","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oklahoma City [OKC]","United States","OKC","Will Rogers World","35.39","-97.6","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oki Island [OKI]","Japan","OKI","Oki","36.18","133.32","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Okayama [OKJ]","Japan","OKJ","Okayama","34.76","133.86","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Okondja [OKN]","Gabon","OKN","Okondja","-0.67","13.67","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Yokota [OKO]","Japan","OKO","Yokota Ab","35.75","139.35","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Orland [OLA]","Norway","OLA","Orland","63.7","9.6","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Olbia [OLB]","Italy","OLB","Olbia Costa Smeralda","40.9","9.52","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oliktok Point [OLI]","United States","OLI","Oliktok Lrrs","70.5","-149.88","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Olympia [OLM]","United States","OLM","Olympia Regional Airport","46.97","-122.9","degrees N and E","amee/defra 2008"
"Nogales [OLS]","United States","OLS","Nogales International","31.42","-110.85","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Omaha [OMA]","United States","OMA","Eppley Air Field","41.3","-95.89","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Omboue Hospial [OMB]","Gabon","OMB","Omboue Hopital","-1.57","9.26","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Nome [OME]","United States","OME","Nome","64.51","-165.45","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Mafraq [OMF]","Jordan","OMF","King Hussein","32.36","36.26","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Mostar [OMO]","Bosnia and Herzegovina","OMO","Mostar","43.28","17.85","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oradea [OMR]","Romania","OMR","Oradea","47.03","21.9","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Omsk [OMS]","Russia","OMS","Tsentralny","54.97","73.31","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Ontario [ONT]","United States","ONT","Ontario International","34.06","-117.6","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Coolangatta [OOL]","Australia","OOL","Gold Coast Coolangatta","-28.16","153.5","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Kopasker [OPA]","Iceland","OPA","Kopasker","66.31","-16.46","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Miami [OPF]","United States","OPF","Opa Locka","25.91","-80.28","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Porto [OPO]","Portugal","OPO","Porto","41.25","-8.68","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Oran [ORA]","Argentina","ORA","Oran","-23.15","-64.33","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Orebro [ORB]","Sweden","ORB","Orebro","59.22","15.04","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Chicago [ORD]","United States","ORD","Chicago Ohare International","41.98","-87.9","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Orleans [ORE]","France","ORE","Bricy","47.99","1.76","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Norfolk [ORF]","United States","ORF","Norfolk International","36.89","-76.2","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
