country,type,annualMassDirectCO2PerEnergy,massDirectCO2PerEnergy,massIndirectCO2ePerEnergy,massLifeCycleCO2ePerEnergy,percentElectricity,percentHeat,percentLossesElectricity,percentLossesHeat,units,source
Australia,electricity distribution and transmission,0.07015,0.07624,0.0102,0.08644,1,0,0.078093644,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Brazil,electricity distribution and transmission,0.01671,0.01534,0.00205,0.01739,0.996876405,0.003123595,0.156970376,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Canada,electricity distribution and transmission,0.01726,0.01845,0.00247,0.02092,0.984028359,0.015971641,0.0868116,5.55738E-06,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"Peoples Republic of China",electricity distribution and transmission,0.04298,0.0501,0.0067,0.0568,0.81139887,0.18860113,0.071403926,0.014460823,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Chinese Taipei,electricity distribution and transmission,0.02657,0.02824,0.00378,0.03202,1,0,0.041495144,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Croatia,electricity distribution and transmission,0.03894,0.04594,0.00614,0.05208,0.78560779,0.21439221,0.118632825,0.141069955,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Egypt,electricity distribution and transmission,0.05736,0.06751,0.00903,0.07654,1,0,0.125821596,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Gibraltar,electricity distribution and transmission,0,0,0,0,1,0,0,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Hong Kong (China),electricity distribution and transmission,0.08893,0.0905,0.0121,0.1026,1,0,0.106615328,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Iceland,electricity distribution and transmission,0.00003,0.00005,0.00001,0.00006,0.794681117,0.205318883,0.043477637,0.123660328,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
India,electricity distribution and transmission,0.3118,0.33075,0.04423,0.37498,1,0,0.259437643,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Indonesia,electricity distribution and transmission,0.08463,0.09331,0.01248,0.10579,1,0,0.115960519,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Israel,electricity distribution and transmission,0.01734,0.02297,0.00307,0.02604,1,0,0.029563313,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Japan,electricity distribution and transmission,0.02306,0.02205,0.00295,0.025,0.993616027,0.006383973,0.048822787,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
