"material","type","subtype","energyPerMass","massCO2PerMass","massCO2ePerMass","boundary","note","units","source"
"Glass","Primary Glass",,15.000,0.860,0.910,"Cradle to gate","Includes process CO2 emissions from primary glass manufacture.",,"http://people.bath.ac.uk/cj219/"
"Glass","Secondary Glass",,11.500,0.550,0.590,"Cradle to gate","EE estimated from Ref 115.",,"http://people.bath.ac.uk/cj219/"
"Glass","Toughened",,23.500,1.270,1.350,"Cradle to gate","Only three data sources",,"http://people.bath.ac.uk/cj219/"
"Glass reinforced plastic / fibreglass",,,100.000,8.100,,"Not specified","Ref. 1.",,"http://people.bath.ac.uk/cj219/"
"Grit",,,0.115,0.007,,"Not specified","Ref. 114.",,"http://people.bath.ac.uk/cj219/"
"Ground limestone",,,0.620,0.032,,"Not specified",,,"http://people.bath.ac.uk/cj219/"
"Insulation","Cellular Glass",,27.000,,,"Unknown","Ref. 54.",,"http://people.bath.ac.uk/cj219/"
"Insulation","Cellulose","Lower",0.940,,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Insulation","Cellulose","Mean",2.120,,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Insulation","Cellulose","Upper",3.300,,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Insulation","Cork",,4.000,0.190,,"Cradle to gate","Ref. 55.",,"http://people.bath.ac.uk/cj219/"
"Insulation","Fibreglass","Glasswool",28.000,1.350,,"Cradle to site","Poor data difficult to select appropriate value",,"http://people.bath.ac.uk/cj219/"
"Insulation","Flax","Insulation",39.500,1.700,,"Cradle to grave","Ref. 2. 5.97 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Insulation","General Insulation",,45.000,1.860,,"Cradle to gate","Estimated from typical market shares. Feedstock Energy 16.5 MJ/kg  (Included)",,"http://people.bath.ac.uk/cj219/"
"Insulation","Mineral wool",,16.600,1.200,1.280,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Insulation","Paper wool",,20.170,0.630,,"Cradle to grave","Ref. 2",,"http://people.bath.ac.uk/cj219/"
"Insulation","Rockwool",,16.800,1.050,1.120,"Cradle to grave","Cradle to Grave",,"http://people.bath.ac.uk/cj219/"
"Insulation","Woodwool","Board",20.000,0.980,,"Cradle to gate","Ref. 55.",,"http://people.bath.ac.uk/cj219/"
"Insulation","Woodwool","Loose",10.800,,,"Cradle to gate","Ref. 205.",,"http://people.bath.ac.uk/cj219/"
"Insulation","Wool","Recycled",20.900,,,"Cradle to gate","Refs. 63, 201, 202 and 281.",,"http://people.bath.ac.uk/cj219/"
"Iron","General",,25.000,1.910,2.032,"Cradle to gate","It was difficult to estimate the embodied energy and carbon of iron with the data available.",,"http://people.bath.ac.uk/cj219/"
"Lead","General","Average",25.210,1.570,1.668,"Cradle to gate","Allocated (divided) on a mass basis, assumes recycling rate of 61%",,"http://people.bath.ac.uk/cj219/"
"Lead","General","Recycled",10.000,0.540,0.580,"Cradle to gate","Scrap batteries are a main feedstock for recycled lead",,"http://people.bath.ac.uk/cj219/"
"Lead","General","Virgin",49.000,3.180,3.370,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Lime","General",,5.300,0.760,0.780,"Cradle to gate","Embodied carbon was difficult to estimate",,"http://people.bath.ac.uk/cj219/"
"Linoleum","General",,25.000,1.210,,"Cradle to grave","Data difficult to select, large data range.",,"http://people.bath.ac.uk/cj219/"
"Lithium",,,853.000,5.300,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
"Mandolite",,,63.000,1.400,,"Not specified","Ref. 1.",,"http://people.bath.ac.uk/cj219/"
"Manganese",,,52.000,3.500,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
"Mercury",,,87.000,4.940,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
"Mineral fibre tile","Roofing",,37.000,2.700,,"Not specified","Ref. 1.",,"http://people.bath.ac.uk/cj219/"
"Molybedenum",,,378.000,30.300,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
"Nickel",,,164.000,12.400,,"Not specified","Ref. 114.",,"http://people.bath.ac.uk/cj219/"
